Hugo Symbol	ensembl	oncokb	mskcc	MSK-Impact
XIAP	ENST00000371199	ENST00000355640	ENST00000371199	NM_001167.3
XPA	ENST00000375128	ENST00000375128		
XPC	ENST00000285021	ENST00000285021		
XPO1	ENST00000401558	ENST00000401558	ENST00000401558	NM_003400.3
XRCC1	ENST00000262887	ENST00000262887		
XRCC2	ENST00000359321	ENST00000359321	ENST00000359321	NM_005431.1
YAP1	ENST00000282441	ENST00000282441	ENST00000282441	NM_001130145.2
YES1	ENST00000584307	ENST00000314574	ENST00000314574	NM_005433.3
YY1	ENST00000262238	ENST00000262238		
ZBTB20	ENST00000474710	ENST00000474710		
ZBTB7A	ENST00000322357	ENST00000322357		
ZFHX3	ENST00000268489	ENST00000268489	ENST00000268489	NM_006885.3
ZFP36L1	ENST00000439696	ENST00000336440		
ZFP36L2	ENST00000282388	ENST00000282388		
ZMYM3	ENST00000353904	ENST00000314425		
ZNF217	ENST00000371471	ENST00000302342		
ZNF292	ENST00000369577			
ZNF750	ENST00000269394	ENST00000269394		
ZNRF3	ENST00000544604	ENST00000544604	ENST00000544604	NM_001206998.1
ZRSR2	ENST00000307771	ENST00000307771	ENST00000307771	NM_005089.3
